iter	Passed	Remaining
0	58	58255
1	59	29893
2	61	20282
3	62	15446
4	63	12561
5	64	10642
6	65	9264
7	66	8269
8	68	7495
9	69	6867
10	70	6340
11	71	5922
12	73	5568
13	74	5268
14	75	4985
15	77	4743
16	78	4519
17	79	4317
18	80	4138
19	81	3989
20	82	3858
21	83	3719
22	84	3596
23	85	3482
24	86	3373
25	87	3275
26	88	3188
27	89	3107
28	91	3055
29	92	2983
30	93	2917
31	94	2851
32	95	2788
33	96	2728
34	97	2690
35	98	2641
36	99	2598
37	100	2550
38	101	2507
39	102	2467
40	103	2432
41	105	2396
42	106	2359
43	106	2324
44	107	2291
45	109	2263
46	110	2236
47	111	2209
48	112	2180
49	113	2152
50	114	2125
51	115	2102
52	116	2078
53	117	2054
54	118	2033
55	119	2012
56	120	1999
57	122	1996
58	123	1975
59	124	1955
60	126	1943
61	127	1926
62	128	1909
63	129	1892
64	130	1875
65	131	1858
66	132	1841
67	133	1826
68	134	1812
69	135	1798
70	136	1785
71	137	1771
72	138	1756
73	139	1742
74	140	1729
75	141	1718
76	142	1705
77	143	1691
78	144	1682
79	145	1669
80	146	1658
81	147	1649
82	147	1634
83	148	1624
84	149	1613
85	150	1602
86	151	1592
87	154	1604
88	155	1596
89	157	1595
90	159	1590
91	160	1582
92	161	1575
93	162	1568
94	164	1564
95	165	1560
96	166	1553
97	167	1545
98	169	1538
99	170	1530
100	171	1527
101	172	1520
102	173	1512
103	174	1505
104	175	1497
105	176	1490
106	177	1483
107	178	1476
108	179	1468
109	180	1461
110	181	1454
111	182	1446
112	183	1441
113	184	1435
114	185	1428
115	186	1421
116	187	1413
117	188	1406
118	189	1401
119	190	1396
120	191	1389
121	192	1381
122	193	1376
123	194	1371
124	195	1365
125	196	1362
126	197	1355
127	198	1351
128	199	1346
129	200	1341
130	201	1338
131	203	1335
132	203	1329
133	205	1326
134	206	1321
135	207	1316
136	208	1312
137	209	1308
138	210	1303
139	211	1298
140	212	1294
141	213	1288
142	214	1287
143	215	1283
144	216	1278
145	217	1273
146	218	1268
147	219	1263
148	220	1260
149	221	1256
150	222	1252
151	223	1247
152	224	1242
153	225	1239
154	226	1236
155	227	1232
156	228	1228
157	229	1224
158	231	1223
159	232	1220
160	233	1215
161	234	1211
162	235	1207
163	236	1204
164	237	1200
165	238	1195
166	239	1192
167	239	1188
168	240	1184
169	242	1181
170	242	1177
171	243	1174
172	245	1171
173	246	1168
174	247	1166
175	248	1163
176	249	1159
177	250	1155
178	251	1153
179	252	1151
180	253	1147
181	254	1144
182	255	1140
183	256	1136
184	257	1136
185	258	1133
186	260	1131
187	261	1128
188	262	1126
189	263	1124
190	264	1122
191	266	1121
192	267	1117
193	268	1116
194	269	1113
195	270	1110
196	271	1107
197	272	1104
198	273	1102
199	274	1098
200	276	1097
201	277	1097
202	279	1098
203	280	1096
204	283	1097
205	284	1095
206	285	1092
207	286	1089
208	287	1086
209	288	1083
210	289	1080
211	290	1077
212	291	1075
213	292	1072
214	293	1070
215	294	1067
216	295	1066
217	296	1063
218	297	1060
219	298	1057
220	299	1054
221	300	1052
222	301	1050
223	302	1047
224	303	1044
225	304	1042
226	305	1039
227	306	1036
228	307	1034
229	308	1032
230	309	1029
231	310	1026
232	311	1023
233	311	1020
234	313	1019
235	314	1018
236	315	1015
237	316	1013
238	317	1011
239	318	1009
240	320	1009
241	321	1007
242	322	1005
243	323	1003
244	324	1000
245	325	998
246	326	996
247	327	993
248	328	991
249	329	988
250	330	986
251	331	984
252	332	982
253	333	980
254	334	977
255	335	975
256	336	972
257	337	970
258	338	968
259	339	966
260	340	964
261	341	962
262	342	960
263	343	957
264	344	956
265	345	953
266	346	951
267	347	948
268	348	946
269	349	945
270	351	944
271	352	942
272	353	940
273	354	938
274	355	936
275	356	934
276	357	933
277	358	931
278	359	930
279	361	929
280	362	928
281	364	927
282	365	925
283	366	924
284	367	922
285	369	921
286	370	919
287	371	918
288	372	916
289	373	914
290	374	912
291	375	911
292	376	908
293	377	906
294	378	905
295	379	902
296	380	900
297	381	899
298	382	897
299	383	895
300	384	893
301	385	892
302	386	890
303	388	888
304	388	886
